Gene	Human_CBC	Human_DFC	Human_STR	Human_MD	Human_HIP	Monkey_DCBC	Monkey_DDFC	Monkey_DSTR	Monkey_DMD	Monkey_DHIP	Monkey_CCBC	Monkey_CDFC	Monkey_CSTR	Monkey_CMD	Monkey_CHIP	Monkey_BCBC	Monkey_BDFC	Monkey_BSTR	Monkey_BMD	Monkey_BHIP	Mouse_CBC	Mouse_DFC	Mouse_STR	Mouse_MD	Mouse_HIP
PDE10A	-1.20331154112224	-0.683282312472044	1.44963090833412	-0.675408236139064	-0.406492022837123	0.0141609684946758	0.239769855979162	1.20807995824927	0.338685690251537	0.475111891701358	-0.119011502279706	0.495805331931661	1.19858052050526	0.482706855092231	0.528878078156608	0.1624079923787	0.418457611378238	0.944017821338878	0.401882562596991	0.444395192001792	-1.27949227570286	-0.997026503403111	1.90861647152501	-0.723936988434132	-0.505416758710319
PDE12	0.0794803671700797	0.193888941811051	0.332903665516823	0.0724979370739358	0.125989880480467	0.657762107522464	0.691914609841708	0.696296733301183	0.71529534030101	0.671862159286154	0.628213416354092	0.574894235951851	0.680347480494546	0.644196033199577	0.644328928855525	0.635388423395854	0.573974334488802	0.590773525425194	0.642620672475035	0.572724619171312	0.0823341472268404	-0.455945435211314	0.0477840199926968	0.0692321792931001	-0.0303074150554161
PDE1A	0.856403225148926	0.486730722412431	0.500410153847954	0.618624726176917	0.824576066512747	0.456872367332378	0.543408977631778	0.544376304124531	0.447915374126024	0.7961948473548	0.247127218604328	0.465398719690492	0.308210810709762	0.343965653024883	0.806417369633335	0.222214312842762	0.450082642235346	0.143856680419918	0.424243614012216	0.657143931633342	-1.39791196465327	1.32189236027602	0.654165266927871	0.804080084687449	1.09616151264249
PDE1B	0.400561220832818	0.104143273704101	1.71237521507877	-0.549443027149775	0.639089589276208	0.608065966748852	0.419843704343077	1.10327924500371	0.562058471313144	0.535424596704844	0.307616410937112	-0.017496182806181	0.996792919096859	0.468316368696412	0.391720841584992	0.557225469496325	-0.761771387685731	0.301847198469336	0.401170930696632	0.113051870158429	0.111939069464442	0.811730210266607	2.06779154884549	0.862401347020335	0.73599797793636
PDE1C	0.329791160005866	-0.618011048762515	-1.53482432366274	-0.261651924363222	-0.506208821498498	0.569093244099772	0.217955307197096	0.216984014101121	-0.0215427121350166	-0.0900794978245104	0.677509045774897	0.300015085465707	0.277243803372577	0.0735601449004117	-0.00951053776169313	0.521322081551273	0.340663646672845	0.105602042055497	0.0406474138204368	0.110125280772829	-1.6902605717496	-2.28402647274502	-0.797359842923201	-2.04977368546838	-1.91158715485023
PDE2A	0.215166213541568	1.39922060009852	1.55489479315422	1.48573972772434	1.54880378153063	-0.0305213588760096	1.03795654301137	1.08661087195193	1.00523065923514	0.905652757017158	-0.0536041218824087	0.854097502363455	1.01735786636129	0.87152439326952	0.923146552756073	-0.00554834608469858	0.580799181824134	0.709865160981376	0.744763075476948	0.662068518658116	-0.213715075149183	1.51127073414314	1.69259315230435	0.804080084687449	1.56360780236748
PDE4B	-0.357818402523195	-0.595441793018893	-0.511849177101334	-0.340626845783194	-0.409109843215535	0.600819371088742	0.173088054424855	0.610384158878333	0.69092381709432	0.556708058218028	0.52569196978144	0.500168401228294	0.60790641877873	0.708075550336313	0.636244892670665	0.533572944144033	0.553099636954849	0.58916643226117	0.648712345644063	0.563460693311836	0.896469508760903	-0.295553547140175	0.676904563687939	0.570795035355911	-0.633772912036439
PDE4D	-0.129210687939554	-0.388841643583504	-1.2470312011062	-1.20753548000191	-0.524861602904526	0.332920364087206	0.39156090125633	0.398196257675196	0.290831632148536	0.423168987173881	0.140693319916267	0.431260388125697	0.320218911207135	0.42214166592306	0.281190852513852	0.214124060947961	0.420888214067912	0.250563074886866	0.401331211932366	0.300976139359831	0.570815364147278	0.243595088665222	0.210748980106524	0.193650872269921	0.172763514087405
PDE6D	0.126837012466367	0.0653252949698971	-1.28243287029857	0.188428812172766	0.0482333145713291	0.0579522564615138	-0.0370854153250789	0.165358547394191	-0.0388352494208914	0.0710575484986228	0.0687439192590831	0.23924711404227	0.150437421774496	0.116247337756124	-0.0444866606378237	0.162320280895899	0.153097698167967	0.314735559317729	0.247580789641748	0.194099873476068	0.222957527855451	0.116054551162871	-0.278145900234958	0.0575679268265247	-0.279356667777745
PDGFRB	-0.679054547759409	-0.608318611575643	-0.494412791083127	-0.442158233724873	-0.52168427403201	0.114129624105727	-0.0269779476510357	0.0173924351324604	0.0893324266619361	-0.0872190407550617	0.0447070351715017	-0.0891973724775694	-0.185440445020129	-0.0566407821582549	-0.26535612060989	0.139629772805505	-0.414920773860215	-0.151171961037442	-0.25315505448566	-0.185657681377329	1.02229042827071	1.17889236368247	0.608686673407732	1.27842635166158	0.958226541903974
