ENSG00000011677	GABRA3	Plasma membrane
ENSG00000012048	BRCA1	Nuclear bodies
ENSG00000012048	BRCA1	Nucleoplasm
ENSG00000012061	ERCC1	Nucleoplasm
ENSG00000012174	MBTPS2	Cytosol
ENSG00000012174	MBTPS2	Mitochondria
ENSG00000012174	MBTPS2	Nucleoplasm
ENSG00000012504	NR1H4	Nucleoplasm
ENSG00000012660	ELOVL5	Endoplasmic reticulum
ENSG00000012779	ALOX5	Nucleoplasm
ENSG00000012817	KDM5D	Nucleoli fibrillar center
ENSG00000012822	CALCOCO1	Cytosol
ENSG00000012963	UBR7	Nucleoplasm
ENSG00000012983	MAP4K5	Cytosol
ENSG00000013016	EHD3	Plasma membrane
ENSG00000013275	PSMC4	Cytosol
ENSG00000013275	PSMC4	Nucleoplasm
ENSG00000013293	SLC7A14	Cytosol
ENSG00000013293	SLC7A14	Vesicles
ENSG00000013297	CLDN11	Cell Junctions
ENSG00000013364	MVP	Cytosol
ENSG00000013374	NUB1	Nucleoli
ENSG00000013374	NUB1	Nucleoplasm
ENSG00000013375	PGM3	Cytosol
ENSG00000013375	PGM3	Nucleoplasm
ENSG00000013392	RWDD2A	Vesicles
ENSG00000013441	CLK1	Nuclear membrane
ENSG00000013441	CLK1	Nucleoplasm
ENSG00000013503	POLR3B	Nuclear speckles
ENSG00000013523	ANGEL1	Nucleoplasm
ENSG00000013561	RNF14	Nucleoplasm
ENSG00000013573	DDX11	Nucleoplasm
ENSG00000013583	HEBP1	Vesicles
ENSG00000013588	GPRC5A	Plasma membrane
ENSG00000013588	GPRC5A	Vesicles
ENSG00000013619	MAMLD1	Nucleoplasm
ENSG00000013810	TACC3	Centriolar satellite
ENSG00000013810	TACC3	Cytosol
ENSG00000013810	TACC3	Mitotic spindle
ENSG00000014123	UFL1	Endoplasmic reticulum
ENSG00000014138	POLA2	Nucleoplasm
ENSG00000014164	ZC3H3	Nucleoplasm
ENSG00000014216	CAPN1	Cytosol
ENSG00000014641	MDH1	Centrosome
ENSG00000014641	MDH1	Cytosol
ENSG00000014914	MTMR11	Centrosome
ENSG00000014919	COX15	Mitochondria
ENSG00000015133	CCDC88C	Nucleoli fibrillar center
ENSG00000015133	CCDC88C	Nucleoplasm
ENSG00000015153	YAF2	Nucleoplasm
ENSG00000015171	ZMYND11	Nucleoplasm
ENSG00000015285	WAS	Plasma membrane
ENSG00000015413	DPEP1	Cell Junctions
ENSG00000015413	DPEP1	Nucleoplasm
ENSG00000015475	BID	Cytosol
ENSG00000015479	MATR3	Nucleoplasm
ENSG00000015568	RGPD5	Nuclear membrane
ENSG00000015568	RGPD5	Vesicles
ENSG00000015592	STMN4	Golgi apparatus
ENSG00000015676	NUDCD3	Cytosol
ENSG00000015676	NUDCD3	Plasma membrane
ENSG00000016082	ISL1	Nucleoplasm
ENSG00000016402	IL20RA	Cytosol
ENSG00000016602	CLCA4	Plasma membrane
ENSG00000016864	GLT8D1	Mitochondria
ENSG00000017260	ATP2C1	Golgi apparatus
ENSG00000017483	SLC38A5	Plasma membrane
ENSG00000017483	SLC38A5	Vesicles
ENSG00000017797	RALBP1	Cytosol
ENSG00000018189	RUFY3	Cytosol
ENSG00000018280	SLC11A1	Mitochondria
ENSG00000018408	WWTR1	Nuclear bodies
ENSG00000018408	WWTR1	Nucleoplasm
ENSG00000018510	AGPS	Peroxisomes
ENSG00000018610	CXorf56	Nucleoplasm
ENSG00000018699	TTC27	Mitochondria
ENSG00000018869	ZNF582	Cytosol
ENSG00000019102	VSIG2	Nucleoplasm
ENSG00000019144	PHLDB1	Nucleoplasm
ENSG00000019169	MARCO	Golgi apparatus
ENSG00000019186	CYP24A1	Mitochondria
